type,model,size,inductance,dcr,staturation_current,temperature_rise_current
磁屏蔽罩,FTKB0604-181MT,7*6.8*5,180uH,1.87Ω,/,0.32A
磁屏蔽罩,FTKB0604-221MT,7*6.8*5,220uH,2.08Ω,/,0.29A
磁屏蔽罩,FTKB0604-271MT,7*6.8*5,270uH,2.37Ω,/,0.26A
磁屏蔽罩,FTKB0604-331MT,7*6.8*5,330uH,2.67Ω,/,0.23A
磁屏蔽罩,FTKB0604-391MT,7*6.8*5,390uH,2.94Ω,/,0.22A
磁屏蔽罩,FTKB0604-471MT,7*6.8*5,470uH,3.93Ω,/,0.2A
磁屏蔽罩,FTKB0703-2R2NT,7.8*7.8*4,2.2uH,0.025Ω,/,3A
磁屏蔽罩,FTKB0703-3R3NT,7.8*7.8*4,3.3uH,0.035Ω,/,2.5A
磁屏蔽罩,FTKB0703-4R7NT,7.8*7.8*4,4.7uH,0.031Ω,/,2A
磁屏蔽罩,FTKB0703-100MT,7.8*7.8*4,10uH,0.072Ω,/,1.68A
磁屏蔽罩,FTKB0703-120MT,7.8*7.8*4,12uH,0.098Ω,/,1.52A
磁屏蔽罩,FTKB0703-150MT,7.8*7.8*4,15uH,0.13Ω,/,1.33A
磁屏蔽罩,FTKB0703-180MT,7.8*7.8*4,18uH,0.14Ω,/,1.2A
磁屏蔽罩,FTKB0703-220MT,7.8*7.8*4,22uH,0.19Ω,/,1.07A
磁屏蔽罩,FTKB0703-270MT,7.8*7.8*4,27uH,0.21Ω,/,0.96A
磁屏蔽罩,FTKB0703-330MT,7.8*7.8*4,33uH,0.24Ω,/,0.91A
磁屏蔽罩,FTKB0703-390MT,7.8*7.8*4,39uH,0.32Ω,/,0.77A
磁屏蔽罩,FTKB0703-470MT,7.8*7.8*4,47uH,0.36Ω,/,0.76A
磁屏蔽罩,FTKB0703-560MT,7.8*7.8*4,56uH,0.47Ω,/,0.68A
磁屏蔽罩,FTKB0703-680MT,7.8*7.8*4,68uH,0.52Ω,/,0.61A
磁屏蔽罩,FTKB0703-820MT,7.8*7.8*4,82uH,0.69Ω,/,0.57A
磁屏蔽罩,FTKB0703-101MT,7.8*7.8*4,100uH,0.79Ω,/,0.5A
磁屏蔽罩,FTKB0703-121MT,7.8*7.8*4,120uH,0.89Ω,/,0.49A
磁屏蔽罩,FTKB0703-151MT,7.8*7.8*4,150uH,1.27Ω,/,0.43A
磁屏蔽罩,FTKB0703-181MT,7.8*7.8*4,180uH,1.45Ω,/,0.39A
磁屏蔽罩,FTKB0703-221MT,7.8*7.8*4,220uH,1.65Ω,/,0.35A
磁屏蔽罩,FTKB0703-271MT,7.8*7.8*4,270uH,2.31Ω,/,0.32A
磁屏蔽罩,FTKB0703-331MT,7.8*7.8*4,330uH,2.62Ω,/,0.28A
磁屏蔽罩,FTKB0703-391MT,7.8*7.8*4,390uH,2.94Ω,/,0.26A
磁屏蔽罩,FTKB0703-471MT,7.8*7.8*4,470uH,4.18Ω,/,0.24A
磁屏蔽罩,FTKB0703-561MT,7.8*7.8*4,560uH,4.67Ω,/,0.22A
磁屏蔽罩,FTKB0704-100MT,7.8*7.8*5,10uH,0.049Ω,/,1.84A
磁屏蔽罩,FTKB0704-120MT,7.8*7.8*5,12uH,0.058Ω,/,1.71A
磁屏蔽罩,FTKB0704-150MT,7.8*7.8*5,15uH,0.081Ω,/,1.47A
磁屏蔽罩,FTKB0704-180MT,7.8*7.8*5,18uH,0.091Ω,/,1.31A
磁屏蔽罩,FTKB0704-220MT,7.8*7.8*5,22uH,0.11Ω,/,1.23A
磁屏蔽罩,FTKB0704-270MT,7.8*7.8*5,27uH,0.15Ω,/,1.12A
磁屏蔽罩,FTKB0704-330MT,7.8*7.8*5,33uH,0.17Ω,/,0.96A
磁屏蔽罩,FTKB0704-390MT,7.8*7.8*5,39uH,0.23Ω,/,0.91A
磁屏蔽罩,FTKB0704-470MT,7.8*7.8*5,47uH,0.26Ω,/,0.88A
磁屏蔽罩,FTKB0704-560MT,7.8*7.8*5,56uH,0.35Ω,/,0.75A
磁屏蔽罩,FTKB0704-680MT,7.8*7.8*5,68uH,0.38Ω,/,0.69A
磁屏蔽罩,FTKB0704-820MT,7.8*7.8*5,82uH,0.43Ω,/,0.61A
磁屏蔽罩,FTKB0704-101MT,7.8*7.8*5,100uH,0.61Ω,/,0.6A
磁屏蔽罩,FTKB0704-121MT,7.8*7.8*5,120uH,0.66Ω,/,0.52A
磁屏蔽罩,FTKB0704-151MT,7.8*7.8*5,150uH,0.88Ω,/,0.46A
磁屏蔽罩,FTKB0704-181MT,7.8*7.8*5,180uH,0.98Ω,/,0.42A
磁屏蔽罩,FTKB0704-221MT,7.8*7.8*5,220uH,1.17Ω,/,0.36A
磁屏蔽罩,FTKB0704-271MT,7.8*7.8*5,270uH,1.64Ω,/,0.34A
磁屏蔽罩,FTKB0704-331MT,7.8*7.8*5,330uH,1.86Ω,/,0.32A
磁屏蔽罩,FTKB0704-391MT,7.8*7.8*5,390uH,2.85Ω,/,0.29A
磁屏蔽罩,FTKB0704-471MT,7.8*7.8*5,470uH,3.01Ω,/,0.26A
磁屏蔽罩,FTKB0704-561MT,7.8*7.8*5,560uH,3.62Ω,/,0.23A
磁屏蔽罩,FTKB1004-2R2NT,10.5*10.5*5,2.2uH,0.018Ω,/,4A
磁屏蔽罩,FTKB1004-3R8NT,10.5*10.5*5,3.8uH,0.028Ω,/,3.5A
磁屏蔽罩,FTKB1004-4R7NT,10.5*10.5*5,4.7uH,0.035Ω,/,3.2A
磁屏蔽罩,FTKB1004-6R8NT,10.5*10.5*5,6.8uH,0.044Ω,/,2.8A
磁屏蔽罩,FTKB1004-100MT,10.5*10.5*5,10uH,0.05Ω,/,2.4A
磁屏蔽罩,FTKB1004-120MT,10.5*10.5*5,12uH,0.054Ω,/,2.25A
磁屏蔽罩,FTKB1004-150MT,10.5*10.5*5,15uH,0.061Ω,/,2A
磁屏蔽罩,FTKB1004-180MT,10.5*10.5*5,18uH,0.084Ω,/,1.8A
磁屏蔽罩,FTKB1004-220MT,10.5*10.5*5,22uH,0.094Ω,/,1.65A
磁屏蔽罩,FTKB1004-270MT,10.5*10.5*5,27uH,0.11Ω,/,1.45A
磁屏蔽罩,FTKB1004-330MT,10.5*10.5*5,33uH,0.15Ω,/,1.35A
磁屏蔽罩,FTKB1004-390MT,10.5*10.5*5,39uH,0.17Ω,/,1.2A
磁屏蔽罩,FTKB1004-470MT,10.5*10.5*5,47uH,0.21Ω,/,1.1A
磁屏蔽罩,FTKB1004-560MT,10.5*10.5*5,56uH,0.23Ω,/,1A
磁屏蔽罩,FTKB1004-680MT,10.5*10.5*5,68uH,0.26Ω,/,0.93A
磁屏蔽罩,FTKB1004-820MT,10.5*10.5*5,82uH,0.36Ω,/,0.84A
磁屏蔽罩,FTKB1004-101MT,10.5*10.5*5,100uH,0.41Ω,/,0.76A
磁屏蔽罩,FTKB1004-121MT,10.5*10.5*5,120uH,0.45Ω,/,0.7A
磁屏蔽罩,FTKB1004-151MT,10.5*10.5*5,150uH,0.64Ω,/,0.63A
磁屏蔽罩,FTKB1004-181MT,10.5*10.5*5,180uH,0.84Ω,/,0.57A
磁屏蔽罩,FTKB1004-221MT,10.5*10.5*5,220uH,0.96Ω,/,0.52A
磁屏蔽罩,FTKB1004-271MT,10.5*10.5*5,270uH,1.07Ω,/,0.47A
磁屏蔽罩,FTKB1004-331MT,10.5*10.5*5,330uH,1.37Ω,/,0.43A
磁屏蔽罩,FTKB1004-391MT,10.5*10.5*5,390uH,1.55Ω,/,0.39A
磁屏蔽罩,FTKB1004-471MT,10.5*10.5*5,470uH,1.74Ω,/,0.36A
磁屏蔽罩,FTKB1204-1RONT,12.5*12.5*5,1.0uH,0.01Ω,/,7A
磁屏蔽罩,FTKB1204-2R2NT,12.5*12.5*5,2.2uH,0.014Ω,/,5.7A
磁屏蔽罩,FTKB1204-3R3NT,12.5*12.5*5,3.3uH,0.015Ω,/,5.2A
磁屏蔽罩,FTKB1204-4R7NT,12.5*12.5*5,4.7uH,0.018Ω,/,4.9A
磁屏蔽罩,FTKB1204-5R6NT,12.5*12.5*5,5.6uH,0.02Ω,/,4.5A
磁屏蔽罩,FTKB1204-6R8NT,12.5*12.5*5,6.8uH,0.023Ω,/,4.2A
磁屏蔽罩,FTKB1204-8R2NT,12.5*12.5*5,8.2uH,0.026Ω,/,4A
磁屏蔽罩,FTKB1204-100MT,12.5*12.5*5,10uH,0.028Ω,/,3.8A
磁屏蔽罩,FTKB1204-120MT,12.5*12.5*5,12uH,0.038Ω,/,3.5A
磁屏蔽罩,FTKB1204-150MT,12.5*12.5*5,15uH,0.05Ω,/,3.2A
磁屏蔽罩,FTKB1204-180MT,12.5*12.5*5,18uH,0.057Ω,/,3.1A
磁屏蔽罩,FTKB1204-220MT,12.5*12.5*5,22uH,0.066Ω,/,2.9A
磁屏蔽罩,FTKB1204-270MT,12.5*12.5*5,27uH,0.08Ω,/,2.8A
磁屏蔽罩,FTKB1204-330MT,12.5*12.5*5,33uH,0.097Ω,/,2.7A
磁屏蔽罩,FTKB1204-390MT,12.5*12.5*5,39uH,0.132Ω,/,2.1A
磁屏蔽罩,FTKB1204-470MT,12.5*12.5*5,47uH,0.16Ω,/,1.9A
磁屏蔽罩,FTKB1204-560MT,12.5*12.5*5,56uH,0.19Ω,/,1.8A
磁屏蔽罩,FTKB1204-680MT,12.5*12.5*5,68uH,0.22Ω,/,1.5A
磁屏蔽罩,FTKB1204-820MT,12.5*12.5*5,82uH,0.26Ω,/,1.3A
磁屏蔽罩,FTKB1204-101MT,12.5*12.5*5,100uH,0.31Ω,/,1.2A
磁屏蔽罩,FTKB1204-121MT,12.5*12.5*5,120uH,0.38Ω,/,1.1A
磁屏蔽罩,FTKB1204-151MT,12.5*12.5*5,150uH,0.53Ω,/,0.95A
磁屏蔽罩,FTKB1204-181MT,12.5*12.5*5,180uH,0.62Ω,/,0.85A
磁屏蔽罩,FTKB1204-221MT,12.5*12.5*5,220uH,0.7Ω,/,0.8A
磁屏蔽罩,FTKB1204-271MT,12.5*12.5*5,270uH,0.87Ω,/,0.6A
磁屏蔽罩,FTKB1204-331MT,12.5*12.5*5,330uH,0.99Ω,/,0.5A
磁屏蔽罩,FTKB1204-471MT,12.5*12.5*5,470uH,1.1Ω,/,0.25A
磁屏蔽罩,FTKB1205-1RONT,12.5*12.5*6,1.0uH,0.01Ω,/,8A
磁屏蔽罩,FTKB1205-2R2NT,12.5*12.5*6,2.2uH,0.014Ω,/,7.8A
磁屏蔽罩,FTKB1205-2R4NT,12.5*12.5*6,2.4uH,0.014Ω,/,7.5A
磁屏蔽罩,FTKB1205-3R3NT,12.5*12.5*6,3.3uH,0.014Ω,/,6.8A
磁屏蔽罩,FTKB1205-4R7NT,12.5*12.5*6,4.7uH,0.02Ω,/,5.6A
磁屏蔽罩,FTKB1205-5R8NT,12.5*12.5*6,5.8uH,0.02Ω,/,5.2A
磁屏蔽罩,FTKB1205-8R2NT,12.5*12.5*6,8.2uH,0.021Ω,/,4.4A
磁屏蔽罩,FTKB1205-100MT,12.5*12.5*6,10uH,0.025Ω,/,4A
磁屏蔽罩,FTKB1205-120MT,12.5*12.5*6,12uH,0.027Ω,/,3.5A
磁屏蔽罩,FTKB1205-150MT,12.5*12.5*6,15uH,0.03Ω,/,3.3A
磁屏蔽罩,FTKB1205-180MT,12.5*12.5*6,18uH,0.034Ω,/,3A
磁屏蔽罩,FTKB1205-220MT,12.5*12.5*6,22uH,0.036Ω,/,2.8A
磁屏蔽罩,FTKB1205-270MT,12.5*12.5*6,27uH,0.051Ω,/,2.3A
磁屏蔽罩,FTKB1205-330MT,12.5*12.5*6,33uH,0.057Ω,/,2.1A
磁屏蔽罩,FTKB1205-390MT,12.5*12.5*6,39uH,0.068Ω,/,2A
磁屏蔽罩,FTKB1205-470MT,12.5*12.5*6,47uH,0.075Ω,/,1.8A
磁屏蔽罩,FTKB1205-560MT,12.5*12.5*6,56uH,0.11Ω,/,1.7A
磁屏蔽罩,FTKB1205-680MT,12.5*12.5*6,68uH,0.12Ω,/,1.5A
磁屏蔽罩,FTKB1205-820MT,12.5*12.5*6,82uH,0.14Ω,/,1.4A
磁屏蔽罩,FTKB1205-101MT,12.5*12.5*6,100uH,0.16Ω,/,1.3A
磁屏蔽罩,FTKB1205-121MT,12.5*12.5*6,120uH,0.17Ω,/,1.1A
磁屏蔽罩,FTKB1205-151MT,12.5*12.5*6,150uH,0.23Ω,/,1A
磁屏蔽罩,FTKB1205-181MT,12.5*12.5*6,180uH,0.29Ω,/,0.9A
磁屏蔽罩,FTKB1205-221MT,12.5*12.5*6,220uH,0.4Ω,/,0.8A
磁屏蔽罩,FTKB1205-271MT,12.5*12.5*6,270uH,0.46Ω,/,0.75A
磁屏蔽罩,FTKB1205-331MT,12.5*12.5*6,330uH,0.51Ω,/,0.68A
磁屏蔽罩,FTKB1205-391MT,12.5*12.5*6,390uH,0.69Ω,/,0.65A
磁屏蔽罩,FTKB1205 -471MT,12.5*12.5*6,470uH,0.77Ω,/,0.58A
磁屏蔽罩,FTKB1205 -561MT,12.5*12.5*6,560uH,0.86Ω,/,0.54A
磁屏蔽罩,FTKB1205 -681MT,12.5*12.5*6,680uH,1.2Ω,/,0.48A
磁屏蔽罩,FTKB1205 -821MT,12.5*12.5*6,820uH,1.34Ω,/,0.43A
磁屏蔽罩,FTKB1205-102MT,12.5*12.5*6,1000uH,1.8Ω,/,0.4A
磁屏蔽罩,FTKB1207-1RONT,12.5*12.5*8,1.0uH,0.009Ω,/,10A
磁屏蔽罩,FTKB1207-2R2NT,12.5*12.5*8,2.2uH,0.012Ω,/,8A
磁屏蔽罩,FTKB1207-2R7NT,12.5*12.5*8,2.7uH,0.013Ω,/,8A
磁屏蔽罩,FTKB1207-3R3NT,12.5*12.5*8,3.3uH,0.013Ω,/,8A
磁屏蔽罩,FTKB1207-3R9NT,12.5*12.5*8,3.9uH,0.013Ω,/,7.5A
磁屏蔽罩,FTKB1207-4R7NT,12.5*12.5*8,4.7uH,0.016Ω,/,6.8A
磁屏蔽罩,FTKB1207-6R1NT,12.5*12.5*8,6.1uH,0.018Ω,/,6.6A
磁屏蔽罩,FTKB1207-6R8NT,12.5*12.5*8,6.8uH,0.019Ω,/,6.6A
磁屏蔽罩,FTKB1207-7R6NT,12.5*12.5*8,7.6uH,0.02Ω,/,5.9A
磁屏蔽罩,FTKB1207-8R2NT,12.5*12.5*8,8.2uH,0.02Ω,/,5.6A
磁屏蔽罩,FTKB1207-100MT,12.5*12.5*8,10uH,0.021Ω,/,5.4A
磁屏蔽罩,FTKB1207-120MT,12.5*12.5*8,12uH,0.024Ω,/,4.9A
磁屏蔽罩,FTKB1207-150MT,12.5*12.5*8,15uH,0.027Ω,/,4.5A
磁屏蔽罩,FTKB1207-180MT,12.5*12.5*8,18uH,0.039Ω,/,3.9A
磁屏蔽罩,FTKB1207-220MT,12.5*12.5*8,22uH,0.043Ω,/,3.6A
磁屏蔽罩,FTKB1207-270MT,12.5*12.5*8,27uH,0.046Ω,/,3.4A
磁屏蔽罩,FTKB1207-330MT,12.5*12.5*8,33uH,0.065Ω,/,3A
磁屏蔽罩,FTKB1207-390MT,12.5*12.5*8,39uH,0.073Ω,/,2.75A
磁屏蔽罩,FTKB1207-470MT,12.5*12.5*8,47uH,0.1Ω,/,2.5A
磁屏蔽罩,FTKB1207-560MT,12.5*12.5*8,56uH,0.11Ω,/,2.35A
磁屏蔽罩,FTKB1207-680MT,12.5*12.5*8,68uH,0.14Ω,/,2.1A
磁屏蔽罩,FTKB1207-820MT,12.5*12.5*8,82uH,0.16Ω,/,1.95A
磁屏蔽罩,FTKB1207-101MT,12.5*12.5*8,100uH,0.22Ω,/,1.7A
磁屏蔽罩,FTKB1207-121MT,12.5*12.5*8,120uH,0.25Ω,/,1.6A
磁屏蔽罩,FTKB1207-151MT,12.5*12.5*8,150uH,0.28Ω,/,1.42A
磁屏蔽罩,FTKB1207-181MT,12.5*12.5*8,180uH,0.35Ω,/,1.3A
磁屏蔽罩,FTKB1207-221MT,12.5*12.5*8,220uH,0.39Ω,/,1.16A
磁屏蔽罩,FTKB1207-271MT,12.5*12.5*8,270uH,0.56Ω,/,1.06A
磁屏蔽罩,FTKB1207-331MT,12.5*12.5*8,330uH,0.64Ω,/,0.95A
磁屏蔽罩,FTKB1207-391MT,12.5*12.5*8,390uH,0.7Ω,/,0.88A
磁屏蔽罩,FTKB1207-471MT,12.5*12.5*8,470uH,0.98Ω,/,0.79A
磁屏蔽罩,FTKB1207-561MT,12.5*12.5*8,560uH,1.07Ω,/,0.73A
磁屏蔽罩,FTKB1207-681MT,12.5*12.5*8,680uH,1.46Ω,/,0.67A
磁屏蔽罩,FTKB1207-821MT,12.5*12.5*8,820uH,1.64Ω,/,0.6A
磁屏蔽罩,FTKB1207-102MT,12.5*12.5*8,1000uH,1.82Ω,/,0.55A
磁屏蔽罩,FTKC1003-1RONT,10.6*10.5*3,1.0uH,0.009Ω,/,6.5A
磁屏蔽罩,FTKC1003-1R5NT,10.6*10.5*3,1.5uH,0.011Ω,/,5.8A
磁屏蔽罩,FTKC1003-2R2NT,10.6*10.5*3,2.2uH,0.017Ω,/,5.1A
磁屏蔽罩,FTKC1003-3R3NT,10.6*10.5*3,3.3uH,0.021Ω,/,4.7A
磁屏蔽罩,FTKC1003-4R7NT,10.6*10.5*3,4.7uH,0.03Ω,/,4A
磁屏蔽罩,FTKC1003-6R8NT,10.6*10.5*3,6.8uH,0.035Ω,/,3.6A
磁屏蔽罩,FTKC1003-8R2NT,10.6*10.5*3,8.2uH,0.05Ω,/,3A
磁屏蔽罩,FTKC1003-100MT,10.6*10.5*3,10uH,0.059Ω,/,2.8A
磁屏蔽罩,FTKC1003-150MT,10.6*10.5*3,15uH,0.091Ω,/,2.05A
磁屏蔽罩,FTKC1003-220MT,10.6*10.5*3,22uH,0.143Ω,/,1.6A
磁屏蔽罩,FTKC1003-330MT,10.6*10.5*3,33uH,0.202Ω,/,1.35A
磁屏蔽罩,FTKC1003-470MT,10.6*10.5*3,47uH,0.299Ω,/,1.2A
磁屏蔽罩,FTKC1003-560MT,10.6*10.5*3,56uH,0.325Ω,/,1.15A
磁屏蔽罩,FTKC1003-680MT,10.6*10.5*3,68uH,0.429Ω,/,0.95A
磁屏蔽罩,FTKC1003-820MT,10.6*10.5*3,82uH,0.494Ω,/,0.8A
磁屏蔽罩,FTKC1003-101MT,10.6*10.5*3,100uH,0.683Ω,/,0.7A
磁屏蔽罩,FTKC1003-121MT,10.6*10.5*3,120uH,0.754Ω,/,0.65A
磁屏蔽罩,FTKC1004-1R5NT,10.6*10.5*4,1.5uH,0.008Ω,/,6.5A
磁屏蔽罩,FTKC1004-2R5NT,10.6*10.5*4,2.5uH,0.011Ω,/,6.1A
磁屏蔽罩,FTKC1004-3R3NT,10.6*10.5*4,3.3uH,0.014Ω,/,5.6A
磁屏蔽罩,FTKC1004-3R8NT,10.6*10.5*4,3.8uH,0.018Ω,/,5.5A
磁屏蔽罩,FTKC1004-4R7NT,10.6*10.5*4,4.7uH,0.022Ω,/,5.4A
磁屏蔽罩,FTKC1004-5R2NT,10.6*10.5*4,5.2uH,0.022Ω,/,5.4A
磁屏蔽罩,FTKC1004-6R8NT,10.6*10.5*4,6.8uH,0.025Ω,/,5A
磁屏蔽罩,FTKC1004-7R0NT,10.6*10.5*4,7.0uH,0.027Ω,/,4.5A
磁屏蔽罩,FTKC1004-8R2NT,10.6*10.5*4,8.2uH,0.03Ω,/,4.1A
磁屏蔽罩,FTKC1004-100MT,10.6*10.5*4,10uH,0.035Ω,/,3.8A
磁屏蔽罩,FTKC1004-150MT,10.6*10.5*4,15uH,0.05Ω,/,3.1A
磁屏蔽罩,FTKC1004-220MT,10.6*10.5*4,22uH,0.073Ω,/,2.5A
磁屏蔽罩,FTKC1004-330MT,10.6*10.5*4,33uH,0.093Ω,/,2.2A
磁屏蔽罩,FTKC1004-470MT,10.6*10.5*4,47uH,0.128Ω,/,1.9A
磁屏蔽罩,FTKC1004-560MT,10.6*10.5*4,56uH,0.185Ω,/,1.6A
磁屏蔽罩,FTKC1004-680MT,10.6*10.5*4,68uH,0.213Ω,/,1.42A
磁屏蔽罩,FTKC1004-820MT,10.6*10.5*4,82uH,0.275Ω,/,1.32A
磁屏蔽罩,FTKC1004-101MT,10.6*10.5*4,100uH,0.304Ω,/,1.25A
磁屏蔽罩,FTKC1004-151MT,10.6*10.5*4,150uH,0.506Ω,/,0.85A
磁屏蔽罩,FTKC1004-221MT,10.6*10.5*4,220uH,0.756Ω,/,0.7A
磁屏蔽罩,FTKC1004-331MT,10.6*10.5*4,330uH,1.09Ω,/,0.52A
磁屏蔽罩,FTKC1005-3R3NT,10.6*10.5*5.2,3.3uH,0.013Ω,/,6A
磁屏蔽罩,FTKC1005-4R7NT,10.6*10.5*5.2,4.7uH,0.016Ω,/,5.7A
磁屏蔽罩,FTKC1005-6R8NT,10.6*10.5*5.2,6.8uH,0.02Ω,/,5.35A
磁屏蔽罩,FTKC1005-8R2NT,10.6*10.5*5.2,8.2uH,0.023Ω,/,5A
磁屏蔽罩,FTKC1005-100MT,10.6*10.5*5.2,10uH,0.026Ω,/,4.45A
磁屏蔽罩,FTKC1005-120MT,10.6*10.5*5.2,12uH,0.033Ω,/,3.8A
磁屏蔽罩,FTKC1005-150MT,10.6*10.5*5.2,15uH,0.041Ω,/,3.4A
磁屏蔽罩,FTKC1005-180MT,10.6*10.5*5.2,18uH,0.046Ω,/,3.1A
磁屏蔽罩,FTKC1005-220MT,10.6*10.5*5.2,22uH,0.061Ω,/,2.9A
磁屏蔽罩,FTKC1005-270MT,10.6*10.5*5.2,27uH,0.069Ω,/,2.6A
磁屏蔽罩,FTKC1005-330MT,10.6*10.5*5.2,33uH,0.084Ω,/,2.4A
磁屏蔽罩,FTKC1005-390MT,10.6*10.5*5.2,39uH,0.106Ω,/,2.25A
磁屏蔽罩,FTKC1005-470MT,10.6*10.5*5.2,47uH,0.13Ω,/,2A
磁屏蔽罩,FTKC1005-560MT,10.6*10.5*5.2,56uH,0.149Ω,/,1.9A
磁屏蔽罩,FTKC1005-680MT,10.6*10.5*5.2,68uH,0.201Ω,/,1.6A
磁屏蔽罩,FTKC1005-820MT,10.6*10.5*5.2,82uH,0.227Ω,/,1.45A
磁屏蔽罩,FTKC1005-101MT,10.6*10.5*5.2,100uH,0.253Ω,/,1.35A
磁屏蔽罩,FTKC1005-121MT,10.6*10.5*5.2,120uH,0.303Ω,/,1.18A
磁屏蔽罩,FTKC1005-151MT,10.6*10.5*5.2,150uH,0.37Ω,/,1.1A
磁屏蔽罩,FTKC1005-181MT,10.6*10.5*5.2,180uH,0.419Ω,/,1A
磁屏蔽罩,FTKC1005-221MT,10.6*10.5*5.2,220uH,0.5Ω,/,0.94A
磁屏蔽罩,FTKC1005-271MT,10.6*10.5*5.2,270uH,0.672Ω,/,0.8A
磁屏蔽罩,FTKC1005-331MT,10.6*10.5*5.2,330uH,0.812Ω,/,0.73A
磁屏蔽罩,FTKC1005-391MT,10.6*10.5*5.2,390uH,0.953Ω,/,0.7A
磁屏蔽罩,FTKC1005-471MT,10.6*10.5*5.2,470uH,1.29Ω,/,0.54A
磁屏蔽罩,FTKC1005-561MT,10.6*10.5*5.2,560uH,1.43Ω,/,0.52A
磁屏蔽罩,FTKC1005-681MT,10.6*10.5*5.2,680uH,1.6Ω,/,0.51A
磁屏蔽罩,FTKC1005-821MT,10.6*10.5*5.2,820uH,1.77Ω,/,0.48A
铁氧体绕线,FTW1608FE2R2KT,1.60*1.0*0.8,2.2uH,0.56Ω,0.6A,0.58A
铁氧体绕线,FTW1608FE4R7KT,1.60*1.0*0.8,4.7uH,0.79Ω,0.4A,0.42A
铁氧体绕线,FTW1608FE6R8KT,1.60*1.0*0.8,6.8uH,1.50Ω,0.34A,0.34A
铁氧体绕线,FTW1608FE100KT,1.60*1.0*0.8,10uH,1.85Ω,0.28A,0.28A
铁氧体绕线,FTW1608FE150KT,1.60*1.0*0.8,15uH,2.60Ω,0.24A,0.24A
铁氧体绕线,FTW1608FE220KT,1.60*1.0*0.8,22uH,2.80Ω,0.2A,0.2A
铁氧体绕线,FTW1608FE470KT,1.60*1.0*0.8,47uH,6.65Ω,0.1A,0.1A
铁氧体绕线,FTW1608FE2R2MT,1.60*1.0*0.8,2.2uH,0.56Ω,0.6A,0.58A
铁氧体绕线,FTW1608FE4R7MT,1.60*1.0*0.8,4.7uH,0.79Ω,0.4A,0.42A
铁氧体绕线,FTW1608FE6R8MT,1.60*1.0*0.8,6.8uH,1.50Ω,0.34A,0.34A
铁氧体绕线,FTW1608FE100MT,1.60*1.0*0.8,10uH,1.85Ω,0.28A,0.28A
铁氧体绕线,FTW1608FE150MT,1.60*1.0*0.8,15uH,2.60Ω,0.24A,0.24A
铁氧体绕线,FTW1608FE220MT,1.60*1.0*0.8,22uH,2.80Ω,0.2A,0.2A
铁氧体绕线,FTW1608FE470MT,1.60*1.0*0.8,47uH,6.65Ω,0.1A,0.1A
铁氧体绕线,FTW2012FE2R2KT,2.4*1.65*1.3,2.2uH,0.22Ω,0.74A,1.04A
铁氧体绕线,FTW2012FE4R7KT,2.4*1.65*1.3,4.7uH,0.36Ω,0.52A,0.84A
铁氧体绕线,FTW2012FE6R8KT,2.4*1.65*1.3,6.8uH,0.68Ω,0.42A,0.7A
铁氧体绕线,FTW2012FE100KT,2.4*1.65*1.3,10uH,0.85Ω,0.36A,0.56A
铁氧体绕线,FTW2012FE150KT,2.4*1.65*1.3,15uH,1.40Ω,0.3A,0.38A
铁氧体绕线,FTW2012FE220KT,2.4*1.65*1.3,22uH,1.76Ω,0.24A,0.34A
铁氧体绕线,FTW2012FE2R2MT,2.4*1.65*1.3,2.2uH,0.22Ω,0.74A,1.04A
铁氧体绕线,FTW2012FE4R7MT,2.4*1.65*1.3,4.7uH,0.36Ω,0.52A,0.84A
铁氧体绕线,FTW2012FE6R8MT,2.4*1.65*1.3,6.8uH,0.68Ω,0.42A,0.7A
铁氧体绕线,FTW2012FE100MT,2.4*1.65*1.3,10uH,0.85Ω,0.36A,0.56A
铁氧体绕线,FTW2012FE150MT,2.4*1.65*1.3,15uH,1.40Ω,0.3A,0.38A
铁氧体绕线,FTW2012FE220MT,2.4*1.65*1.3,22uH,1.76Ω,0.24A,0.34A
铁氧体绕线,FWI100505HFTL-2R2M,1.19*0.64*0.80,2.2uH,1.7Ω,0.21A,0.11A
铁氧体绕线,FWI100505HFTL-4R7M,1.19*0.64*0.80,4.7uH,2.5Ω,0.2A,0.09A
铁氧体绕线,FWI160808HFTL-1R0M,1.80*1.30*1.30,1.0uH,0.15Ω,0.45A,1.2A
铁氧体绕线,FWI160808HFTL-2R2M,1.80*1.30*1.30,2.2uH,0.3Ω,0.35A,0.75A
铁氧体绕线,FWI160808HFTL-4R7M,1.80*1.30*1.30,4.7uH,0.43Ω,0.2A,0.6A
铁氧体绕线,FWI160808HFTL-100M,1.80*1.30*1.30,10uH,1.1Ω,0.14A,0.38A
铁氧体绕线,FWI160808HFTL-150M,1.80*1.30*1.30,15uH,1.8Ω,0.12A,0.3A
铁氧体绕线,FWI160808HFTL-220M,1.80*1.30*1.30,22uH,2.2Ω,0.09A,0.25A
铁氧体绕线,FWI201212HFTL-1R0M,2.40*1.65*1.40,1.0uH,0.12Ω,0.9A,/
铁氧体绕线,FWI201212HFTL-2R2M,2.40*1.65*1.40,2.2uH,0.21Ω,0.5A,/
铁氧体绕线,FWI201212HFTL-4R7M,2.40*1.65*1.40,4.7uH,0.4Ω,0.35A,/
铁氧体绕线,FWI201212HFTL-100M,2.40*1.65*1.40,10uH,0.64Ω,0.3A,/
